app_id,name,genre,price_usd,release_year,is_free
1740720,Have a Nice Death,Action,24.99,2023,0
1094520,Sands of Salzaar,Adventure,14.99,2021,0
1238820,Battlefield 3™,Action,5.99,2020,0
682990,Drug Dealer Simulator,Action,19.99,2020,0
1574820,Until Then,Adventure,19.99,2024,0
1388590,Yakuza 6: The Song of Life,Action,19.99,2021,0
1850510,TRIANGLE STRATEGY,RPG,59.99,2022,0
1817230,Hi-Fi RUSH,Action,29.99,2023,0
1985820,Call of Duty®: Vanguard,Action,59.99,2023,0
1493640,Banishers: Ghosts of New Eden,Action,49.99,2024,0
482400,System Shock,Action,15.99,2023,0
2172010,Until Dawn™,Adventure,59.99,2024,0
1123770,Curse of the Dead Gods,Action,19.99,2021,0
1649240,Returnal™,Action,59.99,2023,0
1413480,Shin Megami Tensei III Nocturne HD Remaster,RPG,49.99,2021,0
1715130,Crysis Remastered,Action,29.99,2021,0
1656780,Hero's Hour,RPG,17.99,2022,0
2138610,The Legend of Heroes: Trails through Daybreak,Action,47.99,2023,0
1238060,Dead Space™ 3,Action,3.99,2020,0
1382070,Viewfinder,Adventure,24.99,2023,0
1295920,The Mortuary Assistant,Adventure,24.99,2022,0
1020790,NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS,Action,49.29,2023,0
2703850,Rooftops & Alleys: The Parkour Game,Sports,15.99,2024,0
1222730,STAR WARS™: Squadrons,Action,7.99,2020,0
2287220,F1® Manager 2023,Simulation,54.99,2023,0
1677350,EA SPORTS™ PGA TOUR™,Sports,9.79,2023,0
2375550,Like a Dragon Gaiden: The Man Who Erased His Name,Action,24.99,2023,0
1624540,Storyteller,Adventure,14.99,2023,0
1388880,Doki Doki Literature Club Plus!,Casual,14.99,2021,0
2221920,Immortals Fenyx Rising,Action,39.99,2022,0
1839950,Terminator: Dark Fate - Defiance,Strategy,39.99,2024,0
1983260,Dungeons of Hinterberg,Action,29.99,2024,0
813230,ANIMAL WELL,Action,24.99,2024,0
2052040,Golden Lap,Racing,14.99,2024,0
601840,Griftlands,Indie,19.99,2021,0
1177980,"Little Kitty, Big City",Adventure,17.49,2024,0
1703340,The Stanley Parable: Ultra Deluxe,Adventure,24.99,2022,0
1260520,Patrick's Parabox,Casual,19.99,2022,0
2272900,Mirthwood,RPG,22.49,2024,0
1220140,Cartel Tycoon,Action,29.99,2022,0
1252330,DEATHLOOP,Action,59.99,2021,0
973810,Journey To The Savage Planet,Action,8.99,2021,0
2750080,The Settlers: New Allies,Strategy,59.99,2024,0
987840,Expeditions: Rome,RPG,44.99,2022,0
985890,Streets of Rage 4,Action,9.99,2020,0
1148760,I Was a Teenage Exocolonist,Indie,12.49,2022,0
1179580,KAKU: Ancient Seal,Action,24.99,2024,0
742420,Saints Row,Action,29.99,2023,0
1469610,Last Train Home,Strategy,39.99,2023,0
2369900,Castlevania Dominus Collection,Action,24.99,2024,0
1902690,Fate/Samurai Remnant,Action,59.99,2023,0
1227690,Severed Steel,Action,24.99,2021,0
1128860,Men of War II,Action,44.99,2024,0
2475490,Mouthwashing,Adventure,12.99,2024,0
882100,XCOM®: Chimera Squad,Strategy,19.99,2020,0
803050,Per Aspera,Indie,29.99,2020,0
1874170,Shredders,Sports,29.99,2022,0
1257290,Atelier Ryza 2: Lost Legends & the Secret Fairy,RPG,59.99,2021,0
2477340,Expeditions: A MudRunner Game,Racing,39.99,2024,0
1672500,GUNDAM BREAKER 4,Action,59.99,2024,0
2396240,SteamWorld Heist II,Indie,29.99,2024,0
1049410,Superliminal,Action,19.99,2020,0
1150530,Wizard with a Gun,Action,24.99,2023,0
790710,World of Warplanes,MMO,0.0,2022,1
2144740,Ghostrunner 2,Action,15.99,2023,0
2109370,The Great War: Western Front™,Strategy,34.99,2023,0
2436570,DRAGON QUEST BUILDERS,Action,27.99,2024,0
2296990,We Were Here Expeditions: The FriendShip,Adventure,1.99,2023,0
1702330,Rune Factory 5,Adventure,15.99,2022,0
1587130,Blood West,Action,24.99,2023,0
1590910,Forgive Me Father,Action,19.99,2022,0
900040,ELEX II,Action,49.99,2022,0
1944430,Amnesia: The Bunker,Action,24.99,2023,0
774181,Rhythm Doctor,Indie,14.39,2021,0
