app_id,ccu,owners,avg_playtime_min,ccu_at_1yr,ccu_peak
2315690,294,"200,000 .. 500,000",4045,2306.0,8721.0
2198150,291,"500,000 .. 1,000,000",207,643.0,8343.0
986130,286,"500,000 .. 1,000,000",867,691.0,3562.0
1268750,283,"1,000,000 .. 2,000,000",950,610.0,16065.0
898750,283,"500,000 .. 1,000,000",3402,650.0,16817.0
2005010,282,"200,000 .. 500,000",280,449.0,5255.0
1549970,281,"1,000,000 .. 2,000,000",771,2057.0,15550.0
1150440,276,"500,000 .. 1,000,000",1150,721.0,8893.0
1545560,273,"200,000 .. 500,000",904,197.0,3911.0
2840770,272,"100,000 .. 200,000",1065,1351.0,15120.0
763890,270,"1,000,000 .. 2,000,000",1169,2048.0,8091.0
1161580,270,"1,000,000 .. 2,000,000",1268,940.0,7718.0
2395210,267,"200,000 .. 500,000",451,222.0,1791.0
2561580,265,"50,000 .. 100,000",1141,1258.0,2523.0
851850,264,"1,000,000 .. 2,000,000",1729,1743.0,25715.0
1222700,262,"2,000,000 .. 5,000,000",687,1750.0,8548.0
861650,262,"500,000 .. 1,000,000",1821,395.0,1743.0
1782120,261,"500,000 .. 1,000,000",1156,648.0,6097.0
1135690,260,"500,000 .. 1,000,000",316,765.0,2039.0
1672970,260,"1,000,000 .. 2,000,000",1486,667.0,4020.0
1207650,258,"500,000 .. 1,000,000",1154,220.0,3333.0
1577120,256,"500,000 .. 1,000,000",600,420.0,6278.0
633230,255,"2,000,000 .. 5,000,000",1029,765.0,6303.0
2478970,252,"200,000 .. 500,000",1211,840.0,6759.0
1218210,250,"500,000 .. 1,000,000",948,300.0,3987.0
2187220,249,"100,000 .. 200,000",3055,860.0,4440.0
2853730,246,"50,000 .. 100,000",4334,1241.0,2581.0
1681430,238,"500,000 .. 1,000,000",592,575.0,4953.0
2140020,236,"500,000 .. 1,000,000",926,790.0,9555.0
1692250,234,"500,000 .. 1,000,000",2888,5095.0,23763.0
2058190,233,"500,000 .. 1,000,000",2892,749.0,2230.0
780310,231,"1,000,000 .. 2,000,000",1482,1438.0,21506.0
1157390,231,"500,000 .. 1,000,000",1556,407.0,5364.0
860510,229,"1,000,000 .. 2,000,000",451,424.0,10484.0
1644320,223,"100,000 .. 200,000",3233,511.0,3095.0
2698940,222,"200,000 .. 500,000",3175,1537.0,12746.0
1337520,220,"1,000,000 .. 2,000,000",967,385.0,41838.0
1088850,219,"500,000 .. 1,000,000",669,679.0,9826.0
719040,219,"500,000 .. 1,000,000",1888,1465.0,24545.0
1338770,217,"1,000,000 .. 2,000,000",591,1424.0,6961.0
1641960,215,"200,000 .. 500,000",1446,415.0,5601.0
979690,211,"1,000,000 .. 2,000,000",460,1168.0,13930.0
960990,210,"1,000,000 .. 2,000,000",553,410.0,3306.0
1735700,209,"200,000 .. 500,000",1667,319.0,9624.0
1259980,209,"500,000 .. 1,000,000",1097,626.0,2867.0
1113560,207,"500,000 .. 1,000,000",1522,892.0,28509.0
1937500,205,"200,000 .. 500,000",1026,606.0,7240.0
1262580,204,"1,000,000 .. 2,000,000",812,1032.0,12152.0
1496790,204,"500,000 .. 1,000,000",872,1236.0,23923.0
2455640,204,"100,000 .. 200,000",2118,931.0,16418.0
1605220,203,"1,000,000 .. 2,000,000",1125,644.0,7986.0
1321440,202,"0 .. 20,000",768,623.0,2764.0
2114740,202,"500,000 .. 1,000,000",1020,1132.0,9011.0
546560,202,"2,000,000 .. 5,000,000",633,1881.0,16459.0
2058180,202,"1,000,000 .. 2,000,000",1888,676.0,5604.0
745920,200,"500,000 .. 1,000,000",2005,1759.0,39501.0
1382330,199,"1,000,000 .. 2,000,000",1111,481.0,8654.0
960910,199,"500,000 .. 1,000,000",395,193.0,2643.0
1199030,199,"200,000 .. 500,000",5753,179.0,3270.0
1498570,199,"200,000 .. 500,000",1789,2035.0,8205.0
2239550,197,"200,000 .. 500,000",1470,844.0,4997.0
2000890,197,"100,000 .. 200,000",2548,310.0,5548.0
874390,194,"500,000 .. 1,000,000",559,164.0,535.0
2401970,194,"100,000 .. 200,000",2051,454.0,4419.0
1089090,191,"1,000,000 .. 2,000,000",3621,1399.0,7222.0
1649080,191,"500,000 .. 1,000,000",928,2941.0,7510.0
736820,189,"100,000 .. 200,000",1457,1335.0,6034.0
1487210,184,"50,000 .. 100,000",1155,328.0,509.0
1451090,184,"200,000 .. 500,000",1646,585.0,10671.0
1280930,184,"200,000 .. 500,000",917,799.0,2409.0
990630,183,"500,000 .. 1,000,000",252,225.0,1381.0
1341290,183,"500,000 .. 1,000,000",620,682.0,8369.0
1016920,182,"1,000,000 .. 2,000,000",332,1085.0,9651.0
740130,182,"2,000,000 .. 5,000,000",1901,2360.0,60274.0
1369630,181,"1,000,000 .. 2,000,000",1107,922.0,6332.0
1896700,181,"50,000 .. 100,000",2377,248.0,629.0
1351080,178,"200,000 .. 500,000",478,809.0,6250.0
680420,178,"2,000,000 .. 5,000,000",2430,1965.0,125123.0
1062810,178,"200,000 .. 500,000",1603,200.0,3165.0
839770,177,"200,000 .. 500,000",1984,1059.0,4969.0
2725260,176,"200,000 .. 500,000",1596,1553.0,14134.0
1426450,176,"200,000 .. 500,000",1396,433.0,6458.0
1158850,175,"200,000 .. 500,000",2427,621.0,2520.0
1139900,174,"2,000,000 .. 5,000,000",429,1329.0,5033.0
2290180,171,"500,000 .. 1,000,000",358,1503.0,8043.0
1205970,170,"50,000 .. 100,000",1242,135.0,694.0
1253920,167,"1,000,000 .. 2,000,000",1546,1097.0,22811.0
814370,166,"500,000 .. 1,000,000",1767,584.0,1376.0
1121640,164,"200,000 .. 500,000",662,463.0,5711.0
1147860,163,"100,000 .. 200,000",995,397.0,4034.0
2084000,162,"200,000 .. 500,000",698,645.0,1844.0
1202130,162,"200,000 .. 500,000",932,564.0,8089.0
3035570,162,"200,000 .. 500,000",877,1488.0,7837.0
2155180,161,"200,000 .. 500,000",422,735.0,6421.0
788100,161,"2,000,000 .. 5,000,000",1165,3919.0,6259.0
1522820,161,"1,000,000 .. 2,000,000",775,1960.0,13129.0
1536620,161,"0 .. 20,000",437,130.0,468.0
1533420,160,"200,000 .. 500,000",977,404.0,3238.0
1562700,160,"500,000 .. 1,000,000",911,472.0,7623.0
2933080,160,"200,000 .. 500,000",633,688.0,7586.0
1043810,159,"200,000 .. 500,000",470,193.0,4741.0
315210,159,"500,000 .. 1,000,000",668,793.0,13459.0
1448440,151,"1,000,000 .. 2,000,000",2506,993.0,75373.0
700600,151,"500,000 .. 1,000,000",1313,663.0,26509.0
578650,150,"1,000,000 .. 2,000,000",1223,2310.0,16900.0
1556790,149,"200,000 .. 500,000",789,332.0,5408.0
1931770,149,"200,000 .. 500,000",462,519.0,1570.0
835960,149,"200,000 .. 500,000",1715,573.0,7258.0
1887840,147,"200,000 .. 500,000",734,843.0,4692.0
1484280,147,"0 .. 20,000",549,87.0,386.0
257420,145,"1,000,000 .. 2,000,000",834,309.0,6485.0
1466640,144,"500,000 .. 1,000,000",354,312.0,2260.0
1237320,144,"500,000 .. 1,000,000",1001,1911.0,19104.0
2076010,144,"100,000 .. 200,000",1249,732.0,2165.0
1353230,140,"200,000 .. 500,000",755,368.0,6915.0
2996040,139,"200,000 .. 500,000",536,151.0,1455.0
1182900,136,"500,000 .. 1,000,000",985,475.0,4903.0
1556100,135,"50,000 .. 100,000",670,173.0,3335.0
1574580,134,"500,000 .. 1,000,000",361,313.0,1343.0
1262560,133,"1,000,000 .. 2,000,000",288,286.0,1934.0
1113120,133,"1,000,000 .. 2,000,000",2214,1214.0,17143.0
1337760,129,"200,000 .. 500,000",959,284.0,4894.0
1531540,129,"100,000 .. 200,000",3334,452.0,4974.0
1378990,127,"200,000 .. 500,000",780,166.0,454.0
629820,126,"500,000 .. 1,000,000",599,840.0,4158.0
1262540,125,"1,000,000 .. 2,000,000",686,639.0,1438.0
867210,121,"1,000,000 .. 2,000,000",809,790.0,4167.0
2229870,121,"0 .. 20,000",263,455.0,1287.0
1164940,120,"500,000 .. 1,000,000",366,719.0,1900.0
1249970,120,"100,000 .. 200,000",2297,664.0,3881.0
793460,119,"100,000 .. 200,000",788,147.0,1646.0
1277400,118,"2,000,000 .. 5,000,000",3326,992.0,34947.0
1581770,117,"100,000 .. 200,000",760,305.0,3663.0
610370,116,"500,000 .. 1,000,000",1056,838.0,5997.0
1643310,116,"200,000 .. 500,000",1033,495.0,3122.0
1328660,116,"1,000,000 .. 2,000,000",513,417.0,1204.0
1041720,114,"1,000,000 .. 2,000,000",1248,567.0,6219.0
1458100,114,"200,000 .. 500,000",1890,460.0,801.0
553420,114,"1,000,000 .. 2,000,000",980,370.0,2501.0
1811990,114,"500,000 .. 1,000,000",1308,321.0,5064.0
858820,113,"2,000,000 .. 5,000,000",795,3477.0,30930.0
1684350,113,"200,000 .. 500,000",768,210.0,2733.0
807120,112,"500,000 .. 1,000,000",5954,518.0,4238.0
1658280,112,"100,000 .. 200,000",1205,364.0,8338.0
1408610,110,"200,000 .. 500,000",1331,713.0,5838.0
1065310,109,"1,000,000 .. 2,000,000",404,329.0,3059.0
1262350,108,"1,000,000 .. 2,000,000",444,522.0,862.0
1547890,108,"200,000 .. 500,000",736,,
1262240,108,"1,000,000 .. 2,000,000",523,541.0,3966.0
1658150,107,"0 .. 20,000",1092,376.0,3436.0
757320,106,"200,000 .. 500,000",1176,227.0,767.0
1805480,104,"100,000 .. 200,000",1790,362.0,8378.0
536270,103,"200,000 .. 500,000",613,325.0,2841.0
377300,102,"1,000,000 .. 2,000,000",187,149.0,6382.0
1585180,102,"200,000 .. 500,000",1161,772.0,2717.0
1229240,102,"200,000 .. 500,000",1469,532.0,2198.0
1963570,102,"100,000 .. 200,000",574,117.0,2986.0
1951410,101,"100,000 .. 200,000",542,419.0,1408.0
1649950,100,"100,000 .. 200,000",978,333.0,3613.0
837470,100,"1,000,000 .. 2,000,000",190,522.0,1981.0
2751000,100,"200,000 .. 500,000",627,548.0,1446.0
1003590,99,"500,000 .. 1,000,000",1172,263.0,1253.0
970830,99,"500,000 .. 1,000,000",869,388.0,4622.0
1593030,99,"200,000 .. 500,000",449,230.0,4540.0
933820,99,"500,000 .. 1,000,000",756,954.0,6374.0
656350,98,"500,000 .. 1,000,000",1393,578.0,3234.0
1475810,97,"1,000,000 .. 2,000,000",788,1069.0,14082.0
2230110,97,"100,000 .. 200,000",1266,343.0,5690.0
607080,97,"500,000 .. 1,000,000",789,184.0,7234.0
1211630,97,"100,000 .. 200,000",495,1173.0,10435.0
674140,97,"500,000 .. 1,000,000",556,141.0,1088.0
1099410,96,"200,000 .. 500,000",1770,420.0,4638.0
1351240,96,"100,000 .. 200,000",469,409.0,1115.0
1895880,95,"500,000 .. 1,000,000",863,839.0,8038.0
1163550,95,"200,000 .. 500,000",1265,162.0,3630.0
826630,93,"1,000,000 .. 2,000,000",664,813.0,8145.0
1701520,93,"200,000 .. 500,000",715,428.0,2056.0
1740720,91,"200,000 .. 500,000",650,230.0,2481.0
1094520,90,"1,000,000 .. 2,000,000",1444,1792.0,21047.0
1238820,90,"1,000,000 .. 2,000,000",544,265.0,1412.0
682990,89,"1,000,000 .. 2,000,000",1093,473.0,7520.0
1574820,88,"100,000 .. 200,000",748,300.0,626.0
1388590,88,"200,000 .. 500,000",1670,227.0,1607.0
1850510,88,"100,000 .. 200,000",1255,271.0,1971.0
1817230,87,"500,000 .. 1,000,000",575,661.0,6043.0
1985820,87,"100,000 .. 200,000",846,423.0,625.0
1493640,86,"500,000 .. 1,000,000",1430,619.0,3779.0
482400,86,"500,000 .. 1,000,000",612,390.0,7808.0
2172010,85,"50,000 .. 100,000",856,318.0,2581.0
1123770,84,"500,000 .. 1,000,000",735,250.0,2971.0
