app_id,metascore,user_score
1942010,77.0,68
916350,80.0,65
814680,78.0,72
1119600,67.0,73
1137450,67.0,55
1132910,61.0,70
1220150,71.0,70
1341050,51.0,51
1297330,77.0,68
2437040,68.0,0
1393750,79.0,62
1600910,76.0,0
985950,82.0,67
1896880,80.0,74
1932160,65.0,56
598730,75.0,71
2337820,73.0,21
1346010,71.0,59
1147330,64.0,0
1294420,79.0,69
1783680,77.0,50
1867530,77.0,73
702680,72.0,66
374190,84.0,76
1114290,78.0,69
1399700,64.0,0
1016790,69.0,61
1423600,77.0,77
1514930,69.0,67
809060,70.0,67
941570,74.0,58
967390,68.0,50
1678420,52.0,58
1098770,88.0,72
465100,75.0,67
679110,54.0,41
1502560,66.0,73
1263070,59.0,51
1248080,74.0,65
1581480,86.0,79
1575470,74.0,67
1223910,56.0,58
2794770,68.0,69
1041920,84.0,68
733210,74.0,73
1172650,67.0,61
1000760,70.0,77
2738750,58.0,62
1946070,73.0,58
1602560,72.0,64
1345760,58.0,67
1015940,82.0,69
1998450,90.0,78
1307660,54.0,43
1304340,66.0,0
1350200,87.0,68
1178210,76.0,72
995980,77.0,75
1071130,78.0,80
840210,48.0,47
1506510,82.0,58
1184760,84.0,66
1104380,75.0,71
1671360,69.0,62
1612780,71.0,70
2223740,67.0,71
1960110,74.0,61
1125910,78.0,82
730390,69.0,75
1539620,66.0,65
969760,76.0,67
1162130,64.0,52
986310,68.0,58
1924430,79.0,76
1630110,57.0,62
2516170,65.0,0
1012570,70.0,0
1246250,64.0,0
2131010,80.0,80
1150950,77.0,74
1614270,72.0,59
1325890,71.0,53
2769080,75.0,72
1983970,69.0,0
1499120,83.0,82
1668530,75.0,71
1371690,65.0,69
1912380,55.0,52
762220,75.0,68
1110050,75.0,67
725270,81.0,63
865610,72.0,67
946030,76.0,70
254370,65.0,75
1456880,84.0,80
1976950,81.0,0
989440,72.0,60
1733240,65.0,59
1353270,79.0,66
628200,69.0,64
968370,68.0,74
1671410,71.0,58
1430680,69.0,68
2162020,70.0,69
1368130,66.0,67
858030,47.0,55
2602020,77.0,80
1045180,68.0,66
739080,71.0,64
840390,69.0,34
1421790,75.0,0
1399080,71.0,74
1015890,56.0,63
2243670,78.0,71
1139280,77.0,58
2660410,64.0,61
2081400,76.0,75
968870,66.0,56
985900,81.0,71
1405790,74.0,47
1568970,85.0,80
1310330,81.0,53
1422420,77.0,83
1579280,70.0,54
1229420,66.0,0
1402320,66.0,67
690120,68.0,67
1674640,43.0,36
1190400,72.0,74
1154040,77.0,82
2146570,76.0,56
1592540,75.0,62
1497360,67.0,63
982720,66.0,58
2103680,84.0,79
1209410,68.0,70
3061910,67.0,0
1843540,65.0,72
750200,54.0,63
1154790,74.0,75
2015960,64.0,0
1113570,75.0,75
2193050,78.0,75
347800,79.0,69
762180,64.0,0
1284090,54.0,0
1369520,77.0,78
1115780,67.0,73
1662480,80.0,48
1191260,68.0,38
1223500,81.0,65
1050370,77.0,71
1178140,82.0,64
1619230,75.0,0
1831700,66.0,71
1225590,69.0,61
1082680,61.0,70
1302050,67.0,83
1532460,49.0,0
2562900,74.0,68
959860,73.0,62
599610,74.0,70
883360,72.0,69
1640320,71.0,0
1651960,72.0,64
596000,69.0,61
1337530,75.0,0
1121780,68.0,51
623280,53.0,31
1991300,85.0,76
1424980,70.0,65
1001800,73.0,80
1267930,79.0,0
1377920,50.0,20
1540350,77.0,72
768450,64.0,71
735290,77.0,63
593640,60.0,88
1544360,79.0,68
922050,83.0,76
2471130,85.0,74
1309620,79.0,68
931310,53.0,0
1277130,65.0,64
910490,73.0,67
1035560,65.0,73
817020,52.0,57
1164060,79.0,73
1024480,70.0,59
1969440,72.0,61
2556990,79.0,77
695330,76.0,76
1419620,81.0,73
2161620,74.0,59
2104880,59.0,0
2008510,70.0,66
1672310,70.0,82
1903910,69.0,78
2060870,79.0,58
2172180,70.0,0
1640630,76.0,70
1546920,86.0,75
1058690,77.0,70
926580,76.0,70
1075200,65.0,0
1451080,81.0,59
951750,79.0,72
1989320,61.0,82
1170060,81.0,68
794960,71.0,65
1146310,70.0,70
1739900,81.0,70
1293730,66.0,72
1905020,38.0,49
1811040,75.0,59
1037120,71.0,77
1650810,74.0,73
1301950,79.0,65
2543760,75.0,73
1600370,65.0,36
2215540,53.0,82
2450820,86.0,82
1213750,60.0,72
1422410,67.0,42
2082270,76.0,22
1432850,80.0,85
2081470,84.0,78
1183850,52.0,44
899310,73.0,76
1122680,80.0,75
1042670,57.0,73
912570,76.0,66
1195360,67.0,75
989790,82.0,73
1666250,70.0,55
1060210,51.0,60
1647730,65.0,61
1617220,80.0,55
1177030,47.0,90
1280300,75.0,81
1781010,83.0,75
945680,69.0,81
1386870,76.0,79
1346400,76.0,0
1468380,62.0,0
2662630,77.0,56
1505430,53.0,63
1383250,80.0,0
1400970,75.0,47
1586880,80.0,0
2493360,71.0,0
